order_purchase_date,avg_order_delivery_time_in_day
2016-09-04,
2016-09-05,
2016-09-13,
2016-09-15,7.10379E8
2016-10-02,
2016-10-03,3.41802E8
2016-10-04,3.338141666666667E8
2016-10-05,2.598155E8
2016-10-06,2.7113729268292683E8
2016-10-07,2.05596E8
2016-10-08,1.8552505263157895E8
2016-10-09,1.872225E8
2016-10-10,2.492219117647059E8
2016-10-22,
2016-12-23,6.0822E7
2017-01-05,1.408561875E8
2017-01-06,9.66465E7
2017-01-07,3.1366575E8
2017-01-08,1.051875E8
2017-01-09,3.045528E8
2017-01-10,1.619835E8
2017-01-11,9.55476E7
2017-01-12,3.156075E8
2017-01-13,1.233639E8
2017-01-14,1.97955E8
2017-01-15,1.6562057142857143E8
2017-01-16,1.5401321052631578E8
2017-01-17,1.4234653125E8
2017-01-18,1.708092E8
2017-01-19,1.6088958620689654E8
2017-01-20,1.562795357142857E8
2017-01-21,1.6749122727272728E8
2017-01-22,1.202334E8
2017-01-23,1.68235E8
2017-01-24,1.5050226315789473E8
2017-01-25,1.5614526315789473E8
2017-01-26,1.763192195121951E8
2017-01-27,1.6743477966101694E8
2017-01-28,1.663437857142857E8
2017-01-29,1.7864634375E8
2017-01-30,1.444970625E8
2017-01-31,1.7563275E8
2017-02-01,1.5510106451612905E8
2017-02-02,1.6610480597014925E8
2017-02-03,1.9125965454545453E8
2017-02-04,1.67305640625E8
2017-02-05,1.4033904E8
2017-02-06,1.421626329113924E8
2017-02-07,1.3947324545454547E8
2017-02-08,1.5675765882352942E8
2017-02-09,1.7764236986301368E8
2017-02-10,1.695796875E8
2017-02-11,1.845632E8
2017-02-12,1.59709868852459E8
2017-02-13,1.6516368E8
2017-02-14,1.746460909090909E8
2017-02-15,1.4073078947368422E8
2017-02-16,1.7320959183673468E8
2017-02-17,2.091928E8
2017-02-18,1.7838611320754716E8
2017-02-19,1.6882783783783785E8
2017-02-20,1.958023220338983E8
2017-02-21,2.2737207692307693E8
2017-02-22,1.755607924528302E8
2017-02-23,1.847595789473684E8
2017-02-24,1.9023432786885247E8
2017-02-25,1.866736153846154E8
2017-02-26,1.8168214285714287E8
2017-02-27,1.6427507142857143E8
2017-02-28,2.0395137735849056E8
2017-03-01,1.4390506451612905E8
2017-03-02,1.6119370588235295E8
2017-03-03,1.77675625E8
2017-03-04,1.6205824285714287E8
2017-03-05,1.585093432835821E8
2017-03-06,1.5291172340425533E8
2017-03-07,1.6685884615384614E8
2017-03-08,2.1732706849315068E8
2017-03-09,1.786841797752809E8
2017-03-10,1.5633423529411766E8
2017-03-11,1.59312E8
2017-03-12,1.391162857142857E8
2017-03-13,1.8257408653846154E8
2017-03-14,1.5602653125E8
2017-03-15,1.9899222772277227E8
2017-03-16,1.922830396039604E8
2017-03-17,2.08518328125E8
2017-03-18,1.588159014084507E8
2017-03-19,1.4682760714285713E8
2017-03-20,1.5468992920353982E8
2017-03-21,1.397358586956522E8
2017-03-22,1.4977358653846154E8
2017-03-23,1.5838714285714287E8
2017-03-24,1.9569672E8
2017-03-25,1.6573968493150684E8
2017-03-26,1.6970385714285713E8
2017-03-27,1.5770371962616822E8
2017-03-28,1.3836721875E8
2017-03-29,1.88464625E8
2017-03-30,1.77112875E8
2017-03-31,2.135236956521739E8
2017-04-01,1.7824254545454547E8
2017-04-02,1.64368125E8
2017-04-03,1.6789830882352942E8
2017-04-04,2.1077034375E8
2017-04-05,1.5216251612903225E8
2017-04-06,1.8470728723404256E8
2017-04-07,1.835505E8
2017-04-08,1.9005665625E8
2017-04-09,1.7654284285714287E8
2017-04-10,1.574952857142857E8
2017-04-11,1.817762837837838E8
2017-04-12,1.9500181967213115E8
2017-04-13,2.211477E8
2017-04-14,2.222977021276596E8
2017-04-15,2.0001802040816328E8
2017-04-16,2.25536625E8
2017-04-17,2.012300847457627E8
2017-04-18,2.17334E8
2017-04-19,2.1984089361702126E8
2017-04-20,2.099679456521739E8
2017-04-21,2.081888181818182E8
2017-04-22,1.8740298795180723E8
2017-04-23,1.876404705882353E8
2017-04-24,1.9402052727272728E8
2017-04-25,1.6936183177570093E8
2017-04-26,2.0028819512195122E8
2017-04-27,1.8374411842105263E8
2017-04-28,2.2574396842105263E8
2017-04-29,1.9714246478873238E8
2017-04-30,2.1888627272727272E8
2017-05-01,1.809518918918919E8
2017-05-02,1.8885703278688523E8
2017-05-03,2.0902384158415842E8
2017-05-04,1.7376183333333334E8
2017-05-05,1.6894429906542057E8
2017-05-06,1.5717853398058254E8
2017-05-07,1.5157712621359223E8
2017-05-08,1.5034605E8
2017-05-09,1.4986231967213115E8
2017-05-10,1.378220366972477E8
2017-05-11,1.3204048818897638E8
2017-05-12,1.5459445714285713E8
2017-05-13,1.435298823529412E8
2017-05-14,1.360480982142857E8
2017-05-15,1.3539384E8
2017-05-16,1.2623966225165562E8
2017-05-17,1.4961889285714287E8
2017-05-18,1.45926E8
2017-05-19,1.383231857142857E8
2017-05-20,1.364585142857143E8
2017-05-21,1.2402962068965517E8
2017-05-22,1.2472764827586207E8
2017-05-23,1.2709859504132232E8
2017-05-24,1.3789832142857143E8
2017-05-25,1.534244117647059E8
2017-05-26,1.5006167532467532E8
2017-05-27,1.406497792207792E8
2017-05-28,1.2850045454545455E8
2017-05-29,1.2835639072847682E8
2017-05-30,1.4439336363636363E8
2017-05-31,1.553307E8
2017-06-01,1.456519024390244E8
2017-06-02,1.56230496E8
2017-06-03,1.83978E8
2017-06-04,1.563540909090909E8
2017-06-05,1.4348983216783217E8
2017-06-06,1.4610065625E8
2017-06-07,1.696521393442623E8
2017-06-08,1.6316835766423357E8
2017-06-09,1.5653572641509435E8
2017-06-10,1.562155E8
2017-06-11,1.6285775675675675E8
2017-06-12,1.716818780487805E8
2017-06-13,1.5303752419354838E8
2017-06-14,1.743489140625E8
2017-06-15,1.833612403846154E8
2017-06-16,1.6996528723404256E8
2017-06-17,1.52682375E8
2017-06-18,1.448575568181818E8
2017-06-19,1.4747553947368422E8
2017-06-20,1.32196E8
2017-06-21,1.2250641176470588E8
2017-06-22,1.5641165060240963E8
2017-06-23,1.529507596153846E8
2017-06-24,1.7457972E8
2017-06-25,1.3281768E8
2017-06-26,1.5008585294117647E8
2017-06-27,1.3357375352112676E8
2017-06-28,1.5043606779661018E8
2017-06-29,1.471916756756757E8
2017-06-30,1.6882659574468085E8
2017-07-01,1.67439417721519E8
2017-07-02,1.392225E8
2017-07-03,1.4842245535714287E8
2017-07-04,1.490717603305785E8
2017-07-05,1.5474182608695653E8
2017-07-06,1.6166712857142857E8
2017-07-07,1.593513947368421E8
2017-07-08,1.487017951807229E8
2017-07-09,1.4631023863636363E8
2017-07-10,1.5857607857142857E8
2017-07-11,1.4567029746835443E8
2017-07-12,1.5600146896551725E8
2017-07-13,1.6885036363636363E8
2017-07-14,1.6400253020134228E8
2017-07-15,1.6377363636363637E8
2017-07-16,1.6281832710280374E8
2017-07-17,1.394324171779141E8
2017-07-18,1.4788780952380952E8
2017-07-19,1.446259864864865E8
2017-07-20,1.5102417857142857E8
2017-07-21,1.5561167256637168E8
2017-07-22,1.6266506896551725E8
2017-07-23,1.2946179207920793E8
2017-07-24,1.4474350318471336E8
2017-07-25,1.4243153424657536E8
2017-07-26,1.4073923076923078E8
2017-07-27,1.5549203305785123E8
2017-07-28,1.5611337692307693E8
2017-07-29,1.522732090909091E8
2017-07-30,1.245453652173913E8
2017-07-31,1.2403076223776224E8
2017-08-01,1.4485969325153375E8
2017-08-02,1.2652182E8
2017-08-03,1.3721157931034482E8
2017-08-04,1.6116118705035973E8
2017-08-05,1.5978465789473686E8
2017-08-06,1.6512796261682242E8
2017-08-07,1.3679464556962025E8
2017-08-08,1.426279256756757E8
2017-08-09,1.3700368085106382E8
2017-08-10,1.606620974025974E8
2017-08-11,1.4915063909774438E8
2017-08-12,1.4718481318681318E8
2017-08-13,1.307866E8
2017-08-14,1.269135E8
2017-08-15,1.579258064516129E8
2017-08-16,1.460738117647059E8
2017-08-17,1.564255294117647E8
2017-08-18,1.474529577464789E8
2017-08-19,1.461633962264151E8
2017-08-20,1.2969139805825242E8
2017-08-21,1.3195893103448276E8
2017-08-22,1.3627026666666666E8
2017-08-23,1.3844875221238938E8
2017-08-24,1.527389268292683E8
2017-08-25,1.7302507692307693E8
2017-08-26,1.4116267415730336E8
2017-08-27,1.319715E8
2017-08-28,1.2831042E8
2017-08-29,1.5124893333333334E8
2017-08-30,1.4426510982658958E8
2017-08-31,1.443786875E8
2017-09-01,1.6480376470588234E8
2017-09-02,1.4825726470588234E8
2017-09-03,1.3458077419354838E8
2017-09-04,1.5721489932885906E8
2017-09-05,1.4755100662251654E8
2017-09-06,1.770013165467626E8
2017-09-07,1.5369391836734694E8
2017-09-08,1.6241176991150442E8
2017-09-09,1.4608747572815534E8
2017-09-10,1.388097067669173E8
2017-09-11,1.2972437288135593E8
2017-09-12,1.597275E8
2017-09-13,1.5614760591133004E8
2017-09-14,1.5879643636363637E8
2017-09-15,1.6432446575342464E8
2017-09-16,1.67072616E8
2017-09-17,1.59600168E8
2017-09-18,1.5042765E8
2017-09-19,1.5407141721854305E8
2017-09-20,1.4782836075949368E8
2017-09-21,1.6466813013698632E8
2017-09-22,1.5401448529411766E8
2017-09-23,1.597351111111111E8
2017-09-24,1.51785796460177E8
2017-09-25,1.418303023255814E8
2017-09-26,1.466360284090909E8
2017-09-27,1.518543125E8
2017-09-28,1.4851902857142857E8
2017-09-29,1.6619342727272728E8
2017-09-30,1.5022405714285713E8
2017-10-01,1.57550544E8
2017-10-02,1.422504642857143E8
2017-10-03,1.4661051030927834E8
2017-10-04,1.571548846153846E8
2017-10-05,1.6581276258992806E8
2017-10-06,1.876936935483871E8
2017-10-07,1.7813025E8
2017-10-08,1.411483064516129E8
2017-10-09,1.596995614973262E8
2017-10-10,1.5949917613636363E8
2017-10-11,1.503952450331126E8
2017-10-12,1.6634797826086956E8
2017-10-13,1.7026056E8
2017-10-14,1.4713466086956522E8
2017-10-15,1.3381184615384616E8
2017-10-16,1.490373E8
2017-10-17,1.5667449230769232E8
2017-10-18,1.4343085227272728E8
2017-10-19,1.5193051744186047E8
2017-10-20,1.595678823529412E8
2017-10-21,1.4358445714285713E8
2017-10-22,1.454958823529412E8
2017-10-23,1.4137813636363637E8
2017-10-24,1.413815E8
2017-10-25,1.5407282352941176E8
2017-10-26,1.4924368085106382E8
2017-10-27,1.6911055384615386E8
2017-10-28,1.6629374117647058E8
2017-10-29,1.4257704545454547E8
2017-10-30,1.4617152517985612E8
2017-10-31,1.546490636942675E8
2017-11-01,1.667128623853211E8
2017-11-02,1.6617453846153846E8
2017-11-03,1.643228357142857E8
2017-11-04,1.5929545794392523E8
2017-11-05,1.4910477372262773E8
2017-11-06,1.7367019672131148E8
2017-11-07,1.5034283766233766E8
2017-11-08,1.571582130177515E8
2017-11-09,1.5921345405405405E8
2017-11-10,1.7802984905660376E8
2017-11-11,1.86199E8
2017-11-12,1.6873336842105263E8
2017-11-13,1.7432366834170854E8
2017-11-14,2.0172835828877005E8
2017-11-15,1.6872487078651685E8
2017-11-16,1.7669584931506848E8
2017-11-17,1.766357027027027E8
2017-11-18,1.867190704225352E8
2017-11-19,1.560124203821656E8
2017-11-20,1.7548633783783785E8
2017-11-21,1.7973604054054055E8
2017-11-22,1.8650624607329842E8
2017-11-23,2.0866242379182157E8
2017-11-24,2.2281539428076255E8
2017-11-25,2.5193162217659137E8
2017-11-26,2.149997041884817E8
2017-11-27,2.127281012658228E8
2017-11-28,2.0151839678284183E8
2017-11-29,2.3121324683544305E8
2017-11-30,2.065579090909091E8
2017-12-01,2.1470713333333334E8
2017-12-02,2.1605940845070422E8
2017-12-03,1.9472483259911895E8
2017-12-04,2.0322243692307693E8
2017-12-05,2.0139624535315984E8
2017-12-06,2.147924E8
2017-12-07,2.0893249775784755E8
2017-12-08,2.1816405213270143E8
2017-12-09,2.2702476623376623E8
2017-12-10,1.936641891891892E8
2017-12-11,2.000607946768061E8
2017-12-12,1.981611752988048E8
2017-12-13,1.8474042857142857E8
2017-12-14,2.0199655102040815E8
2017-12-15,2.0978654594594595E8
2017-12-16,2.0432623255813953E8
2017-12-17,1.6891440458015266E8
2017-12-18,1.9103536097560975E8
2017-12-19,1.873696551724138E8
2017-12-20,2.0858276785714287E8
2017-12-21,1.8522790714285713E8
2017-12-22,2.0718703636363637E8
2017-12-23,2.2521332673267326E8
2017-12-24,1.5213320689655173E8
2017-12-25,1.9376591860465115E8
2017-12-26,1.6063576363636363E8
2017-12-27,1.7566674545454547E8
2017-12-28,1.9164444827586207E8
2017-12-29,1.9778911363636363E8
2017-12-30,2.056104375E8
2017-12-31,1.772492957746479E8
2018-01-01,1.6385880821917808E8
2018-01-02,1.5775763054187194E8
2018-01-03,1.7683705479452056E8
2018-01-04,1.820462891566265E8
2018-01-05,1.930727969543147E8
2018-01-06,1.97483625E8
2018-01-07,1.6423756701030928E8
2018-01-08,1.669530418118467E8
2018-01-09,1.7487495180722892E8
2018-01-10,1.9585348339483395E8
2018-01-11,1.827121603053435E8
2018-01-12,1.9159708860759494E8
2018-01-13,1.7321349056603774E8
2018-01-14,1.7260477826086956E8
2018-01-15,1.6868673267326733E8
2018-01-16,1.7682094630872482E8
2018-01-17,1.7154125806451613E8
2018-01-18,1.8035681012658226E8
2018-01-19,1.922273127753304E8
2018-01-20,1.9515708791208792E8
2018-01-21,1.856151649484536E8
2018-01-22,1.6807885714285713E8
2018-01-23,1.8176246511627907E8
2018-01-24,2.111467875E8
2018-01-25,1.929646387665198E8
2018-01-26,1.8275638116591927E8
2018-01-27,1.8001098E8
2018-01-28,1.6910592E8
2018-01-29,2.054045082644628E8
2018-01-30,2.032449677419355E8
2018-01-31,1.8803920553359684E8
2018-02-01,1.931696052631579E8
2018-02-02,2.1988377990430623E8
2018-02-03,2.18321671875E8
2018-02-04,1.9172329949238577E8
2018-02-05,2.1498208988764045E8
2018-02-06,1.98694875E8
2018-02-07,2.0063562962962964E8
2018-02-08,2.254070220264317E8
2018-02-09,2.3654535576923078E8
2018-02-10,2.1484249714285713E8
2018-02-11,2.1743918674698794E8
2018-02-12,2.1821517757009345E8
2018-02-13,1.9216861926605505E8
2018-02-14,1.9630759375E8
2018-02-15,2.107805625E8
2018-02-16,2.1512755450236967E8
2018-02-17,2.2419204545454547E8
2018-02-18,2.0727393467336684E8
2018-02-19,2.0354979841897234E8
2018-02-20,1.9296440492957747E8
2018-02-21,2.1765120689655173E8
2018-02-22,2.283402379182156E8
2018-02-23,2.4761371673819742E8
2018-02-24,2.7608182105263156E8
2018-02-25,2.4406910729613733E8
2018-02-26,2.538970824742268E8
2018-02-27,2.46486409556314E8
2018-02-28,2.36658664495114E8
2018-03-01,2.3746258208955225E8
2018-03-02,2.5949881368821293E8
2018-03-03,2.5186855609756097E8
2018-03-04,2.464395327510917E8
2018-03-05,2.3375255294117647E8
2018-03-06,2.355561365313653E8
2018-03-07,2.3976339688715953E8
2018-03-08,2.2030728947368422E8
2018-03-09,2.4245721E8
2018-03-10,2.486394385026738E8
2018-03-11,2.2558863302752292E8
2018-03-12,2.359291441048035E8
2018-03-13,2.1692633944954127E8
2018-03-14,2.2250107653061223E8
2018-03-15,2.1904941758241758E8
2018-03-16,2.1275889795918366E8
2018-03-17,2.2546729213483146E8
2018-03-18,1.8953756872037914E8
2018-03-19,1.909670168918919E8
2018-03-20,1.81401204778157E8
2018-03-21,1.732754193548387E8
2018-03-22,1.8059174103585657E8
2018-03-23,1.7094785167464116E8
2018-03-24,1.8112400613496932E8
2018-03-25,1.8042437368421054E8
2018-03-26,1.7701446666666666E8
2018-03-27,1.756906875E8
2018-03-28,1.8586962085308057E8
2018-03-29,2.0787115263157895E8
2018-03-30,1.9359193251533744E8
2018-03-31,1.766179090909091E8
2018-04-01,1.4849781683168316E8
2018-04-02,1.634402618181818E8
2018-04-03,1.619627195121951E8
2018-04-04,1.4822125E8
2018-04-05,1.509033396226415E8
2018-04-06,1.521998950276243E8
2018-04-07,1.6056503105590063E8
2018-04-08,1.4448726486486486E8
2018-04-09,1.3697781274900398E8
2018-04-10,1.4933929591836736E8
2018-04-11,1.428891330798479E8
2018-04-12,1.6071075E8
2018-04-13,1.6086467512690356E8
2018-04-14,1.688722397260274E8
2018-04-15,1.380402818181818E8
2018-04-16,1.4815114440433213E8
2018-04-17,1.5113487209302327E8
2018-04-18,1.5705295620437956E8
2018-04-19,1.5719409278350514E8
2018-04-20,1.5132084375E8
2018-04-21,1.3976814193548387E8
2018-04-22,1.2865061306532663E8
2018-04-23,1.3722540845070422E8
2018-04-24,1.4143527067669174E8
2018-04-25,1.4355205714285713E8
2018-04-26,1.4689878260869566E8
2018-04-27,1.56294E8
2018-04-28,1.5196063473053893E8
2018-04-29,1.4422856804733726E8
2018-04-30,1.3289625E8
2018-05-01,1.3140414285714285E8
2018-05-02,1.430266920415225E8
2018-05-03,1.3927705629139072E8
2018-05-04,1.473235909090909E8
2018-05-05,1.4018071875E8
2018-05-06,1.3366044174757281E8
2018-05-07,1.3080205177111717E8
2018-05-08,1.2597993808049536E8
2018-05-09,1.401852284866469E8
2018-05-10,1.4399070545454547E8
2018-05-11,1.5200085245901638E8
2018-05-12,1.4717664356435645E8
2018-05-13,1.2855158737864077E8
2018-05-14,1.3126843454038997E8
2018-05-15,1.3813254154727793E8
2018-05-16,1.5975780845070422E8
2018-05-17,1.802656205357143E8
2018-05-18,1.7828393562231758E8
2018-05-19,1.7896506474820143E8
2018-05-20,1.7923899375E8
2018-05-21,1.743991055276382E8
2018-05-22,1.5535567005076143E8
2018-05-23,1.5031296268656716E8
2018-05-24,1.4107404424778762E8
2018-05-25,1.6101288349514562E8
2018-05-26,1.69128E8
2018-05-27,1.7536689E8
2018-05-28,1.48212E8
2018-05-29,1.4660766E8
2018-05-30,1.720884820143885E8
2018-05-31,1.4911073333333334E8
2018-06-01,1.5779462903225806E8
2018-06-02,1.6045789436619717E8
2018-06-03,1.2056679473684211E8
2018-06-04,1.2063804910714285E8
2018-06-05,1.2937778680203046E8
2018-06-06,1.3981531578947368E8
2018-06-07,1.3148617699115044E8
2018-06-08,1.463407846153846E8
2018-06-09,1.3703671597633135E8
2018-06-10,1.20181265625E8
2018-06-11,1.2039493288590604E8
2018-06-12,1.1494581376518218E8
2018-06-13,1.134628588235294E8
2018-06-14,1.2048126760563381E8
2018-06-15,1.303512032967033E8
2018-06-16,1.2169887272727273E8
2018-06-17,1.0131548684210527E8
2018-06-18,9.68157918367347E7
2018-06-19,1.1076339301310043E8
2018-06-20,1.0979321860465117E8
2018-06-21,1.205558076923077E8
2018-06-22,1.20205156424581E8
2018-06-23,1.1753565100671141E8
2018-06-24,9.766266331658292E7
2018-06-25,9.435327731092437E7
2018-06-26,1.0580339748953974E8
2018-06-27,1.1485169158878505E8
2018-06-28,1.1101709128630705E8
2018-06-29,1.1988961714285715E8
2018-06-30,1.1471124193548387E8
2018-07-01,9.890667515923567E7
2018-07-02,9.731436923076923E7
2018-07-03,1.0591000921658987E8
2018-07-04,9.79227250996016E7
2018-07-05,1.1964637305699483E8
2018-07-06,1.2703418181818181E8
2018-07-07,1.1862050561797753E8
2018-07-08,1.3279866101694915E8
2018-07-09,1.2471984246575342E8
2018-07-10,1.2265262790697674E8
2018-07-11,1.5490829268292683E8
2018-07-12,1.6253184615384614E8
2018-07-13,1.5807225E8
2018-07-14,1.526380985915493E8
2018-07-15,1.4550270198675495E8
2018-07-16,1.2310551037344398E8
2018-07-17,1.2459275E8
2018-07-18,1.1355142574257426E8
2018-07-19,1.1736972289156626E8
2018-07-20,1.2128276113360325E8
2018-07-21,1.1695177173913044E8
2018-07-22,1.0219094366197184E8
2018-07-23,1.0549014765100671E8
2018-07-24,1.0359527819548872E8
2018-07-25,1.104412159090909E8
2018-07-26,1.0683482926829268E8
2018-07-27,1.196898989361702E8
2018-07-28,1.1390156896551724E8
2018-07-29,9.819371739130434E7
2018-07-30,1.041813E8
2018-07-31,1.0139212025316456E8
2018-08-01,1.1586726470588236E8
2018-08-02,1.1938694178082192E8
2018-08-03,1.246560192926045E8
2018-08-04,1.1741384810126582E8
2018-08-05,1.0483534191176471E8
2018-08-06,1.0993687397260274E8
2018-08-07,1.0773968644067797E8
2018-08-08,1.0769722044728434E8
2018-08-09,1.1070118505338079E8
2018-08-10,1.2212985542168675E8
2018-08-11,1.1130107486631016E8
2018-08-12,1.0157563212435234E8
2018-08-13,9.802692253521127E7
2018-08-14,1.0127264423076923E8
2018-08-15,1.0016556293706293E8
2018-08-16,1.0058180696202531E8
2018-08-17,1.0283238645418327E8
2018-08-18,9.75158860103627E7
2018-08-19,8.848264390243903E7
2018-08-20,7.694946428571428E7
2018-08-21,7.361886554621848E7
2018-08-22,7.55136E7
2018-08-23,7.290266197183098E7
2018-08-24,6.90151875E7
2018-08-25,5.590617391304348E7
2018-08-26,4.386131506849315E7
2018-08-27,3.266382089552239E7
2018-08-28,2.4617307692307692E7
2018-08-29,1.6681909090909092E7
2018-08-30,
2018-08-31,
2018-09-03,
2018-09-06,
2018-09-10,
2018-09-11,
2018-09-12,
2018-09-13,
2018-09-17,
2018-09-20,
2018-09-25,
2018-09-26,
2018-09-29,
2018-10-01,
2018-10-03,
2018-10-16,
2018-10-17,
